+------+------------------------+----------+---------+----------+---------+--------+----------+
| rows | name                   | time(ms) | CPU(ms) | ttfb(ms) | out(kb) | writes | peak(kb) |
+------+------------------------+----------+---------+----------+---------+--------+----------+
| 1000 | baseline.dump.plain    |     19.7 |    19.9 |      0.0 |   182.9 |  51329 |      6.3 |
| 1000 | baseline.dump.pretty   |     21.7 |    21.9 |      0.0 |   351.4 |  57337 |      7.0 |
| 1000 | jsonfold.dump.off      |     39.4 |    39.7 |      0.0 |   351.4 |  57337 |      7.8 |
| 1000 | jsonfold.dump.none     |    109.5 |   110.5 |      0.1 |   351.4 |  24163 |      9.2 |
| 1000 | jsonfold.dump.default  |    133.9 |   134.8 |      0.1 |   221.5 |   5936 |     10.0 |
| 1000 | jsonfold.dump.low      |    130.7 |   131.5 |      0.1 |   221.5 |   5936 |      9.9 |
| 1000 | jsonfold.dump.med      |    133.6 |   134.2 |      0.1 |   221.5 |   5936 |      9.8 |
| 1000 | jsonfold.dump.high     |    133.2 |   133.6 |      0.2 |   221.4 |   5924 |     10.1 |
| 1000 | jsonfold.dump.max      |    127.1 |   127.4 |      0.3 |   194.6 |   1014 |     10.6 |
| 1000 | jsonfold.dump.pack     |    128.3 |   128.5 |      0.1 |   263.0 |  12024 |      9.6 |
| 1000 | jsonfold.dump.fold     |    110.0 |   110.1 |      0.1 |   351.4 |  24163 |      9.2 |
| 1000 | jsonfold.dump.join     |    132.8 |   132.8 |      0.2 |   221.4 |   5923 |     10.1 |
| 1000 | baseline.dumps.plain   |      2.4 |     2.4 |      2.3 |   182.9 |      1 |    209.4 |
| 1000 | baseline.dumps.pretty  |     13.5 |    13.5 |     13.5 |   351.4 |      1 |   2439.6 |
| 1000 | jsonfold.dumps.none    |    106.5 |   106.5 |    106.5 |   351.4 |      1 |    795.3 |
| 1000 | jsonfold.dumps.default |    136.7 |   136.6 |    136.7 |   221.5 |      1 |    502.9 |
| 1000 | jsonfold.dumps.max     |    132.3 |   132.2 |    132.3 |   194.6 |      1 |    442.5 |
+------+------------------------+----------+---------+----------+---------+--------+----------+
